MER65A	ltr	DF0000897	MER65A Long Terminal Repeat for ERV1 endogenous retrovirus
PRIMA4-int	internal	DF0001053	Internal region of PRIMA4 endogenous retrovirus, PRIMA4-int subfamily
PRIMA4_LTR	ltr	DF0001054	PRIMA4_LTR (Long Terminal Repeat) for PRIMA4 endogenous retrovirus
PRIMA41-int	internal	DF0001052	Internal region of PRIMA41 endogenous retrovirus, PRIMA41-int subfamily
MER41D	ltr	DF0000781	MER41D Long Terminal Repeat for ERV1 endogenous retrovirus
MER41E	ltr	DF0000763	MER41E Long Terminal Repeat for ERV1 endogenous retrovirus
PRIMAX-int	internal	DF0001055	Internal region of PRIMAX endogenous retrovirus, PRIMAX-int subfamily
LTR24	ltr	DF0000464	LTR24 (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR24B	ltr	DF0000465	LTR24B (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR24C	ltr	DF0000466	LTR24C (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR19-int	internal	DF0000434	Internal region of ERV1 endogenous retrovirus, LTR19-int subfamily
LTR19C	ltr	DF0000433	LTR19C (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR23-int	internal	DF0000463	Internal region of ERV1 endogenous retrovirus, LTR23-int subfamily
LTR23	ltr	DF0000462	LTR23 (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR25-int	internal	DF0000468	Internal region of ERV1 endogenous retrovirus, LTR25-int subfamily
LTR25	ltr	DF0000467	LTR25 (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR46-int	internal	DF0000529	Internal region of ERV1 endogenous retrovirus, LTR46-int subfamily
LTR46	ltr	DF0000528	LTR46 (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR57-int	internal	DF0000553	Internal region of HERV57 endogenous retrovirus, LTR57-int subfamily
LTR57	ltr	DF0000552	LTR57 (Long Terminal Repeat) for ERVL endogenous retrovirus
ERV3-16A3_I-int	internal	DF0000116	Internal region of an ERVL endogenous retrovirus, ERV3-16A3_I subfamily
ERV3-16A3_LTR	ltr	DF0000117	Long terminal repeat, ERV3-16A3_LTR subfamily
LTR16	ltr	DF0000414	LTR16 (Long Terminal Repeat) for ERVL endogenous retrovirus
LTR16A	ltr	DF0000415	LTR16A (Long Terminal Repeat) for ERVL endogenous retrovirus
LTR16A1	ltr	DF0000416	LTR16A1 (Long Terminal Repeat) for ERVL endogenous retrovirus
LTR16A2	ltr	DF0000417	LTR16A2 (Long Terminal Repeat) for ERVL endogenous retrovirus
LTR16B	ltr	DF0000418	LTR16B (Long Terminal Repeat) for ERVL endogenous retrovirus
LTR16B1	ltr	DF0000419	LTR16B1 (Long Terminal Repeat) for ERVL endogenous retrovirus
LTR16B2	ltr	DF0000420	LTR16B2 (Long Terminal Repeat) for ERVL endogenous retrovirus
LTR16C	ltr	DF0000421	LTR16C (Long Terminal Repeat) for ERVL endogenous retrovirus
LTR16E1	ltr	DF0000425	LTR16E1 (Long Terminal Repeat) for ERVL endogenous retrovirus
LTR16E2	ltr	DF0000426	LTR16E2 (Long Terminal Repeat) for ERVL endogenous retrovirus
Harlequin-int	internal	DF0000017	Internal region of ERV1 endogenous retrovirus, Harlequin subfamily
HUERS-P1-int	internal	DF0000214	Internal region of ERV1 endogenous retrovirus, HUERS-P1 subfamily
LTR8	ltr	DF0000590	LTR8 (Long Terminal Repeat) for HUERS-P3 endogenous retrovirus
LTR8A	ltr	DF0000616	LTR8A (Long Terminal Repeat) for ERV1 endogenous retrovirus
HUERS-P2-int	internal	DF0000215	Internal region of ERV1 endogenous retrovirus, HUERS-P2 subfamily
LTR1	ltr	DF0000375	LTR1 (Long Terminal Repeat) for human endogenous retrovirus HUERS-P2
LTR1A1	ltr	DF0000435	LTR1A1 (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR1A2	ltr	DF0000436	LTR1A2 (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR1B	ltr	DF0000437	LTR1B (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR1C	ltr	DF0000440	LTR1C (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR1C1	ltr	DF0000441	LTR1C1 (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR1D	ltr	DF0000443	LTR1D (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR1E	ltr	DF0000445	LTR1E (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR1F	ltr	DF0000446	LTR1F (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR1F1	ltr	DF0000447	LTR1F1 (Long Terminal Repeat) for ERV1 endogenous retrovirus
HUERS-P3-int	internal	DF0000216	Internal region of ERV1 endogenous retrovirus, HUERS-P3 subfamily
LTR9	ltr	DF0000618	LTR9 (Long Terminal Repeat) for HUERS-P3 endogenous retrovirus
LTR9A1	ltr	DF0000622	LTR9A1 (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR9B	ltr	DF0000623	LTR9B (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR9C	ltr	DF0000624	LTR9C (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR9D	ltr	DF0000625	LTR9D (Long Terminal Repeat) for ERV1 endogenous retrovirus
HUERS-P3b-int	internal	DF0000217	Internal region of ERV1 endogenous retrovirus, HUERS-P3b subfamily
